year,month,day,creator,cityFrom,coordinatesFrom,regionFrom,countryFrom,addressees,cityTo,coordinatesTo,regionTo,countryTo,destination,flags,language,peopleMentioned
1657,1,1,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Rülz, Johann",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,Origin INFERRED. ~ Destination INFERRED.,Latin,"Rülz, Johann"
1658,3,14,"CCCCCC ~ Rülz, Johann",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Stucki, Hans Rudolph",Zurich,"47.36667, 8.55",Zurich Canton,(Swiss Confederation) Switzerland,,,Latin,"Redinger, Johannes Jacob ~ Alting, Johann Heinrich ~ Scultetus, Abraham ~ Alsted, Johann Heinrich ~ Gwalther, Rudolf ~ Ulrich, Johann Jacob ~ Scultetus, Abraham ~ Goclenius, Rudolph ~ Combach, Johann ~ Ravensberg, Herman ~ Copeius, Bartholomäus ~ Gutberleth, Heinrich ~ Simler, Josias ~ Zwingli, Huldrych ~ Piscator, Johannes ~ Pareus, David"
1658,1,11,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Destination INFERRED.,"German, Latin","Hübner, Joachim ~ Rülz, Johann ~ Figulus, Petr ~ Schaum, Constantine ~ Cromwell, Oliver (Colonel) ~ Drabík, Mikuláš ~ Dalgarno, George, 1616-1687 ~ Hartmann, Adam Samuel ~ Schlezer, Johann Friedrich ~ Gribius, Peter ~ Crommon, Margaretha van ~ Kretschmar, Friedrich ~ Boe, Sylvius de la ~Louis XIV, King of France ~ Downing, George (Sir) ~ Jephson, William ~ Leopold I ~ Wartensky, Samuel ~ Friedrich Wilhelm I ~ Johann Georg II, Prince Elector of Saxony ~ Spiegelberg (fl. 1658)"
1658,1,25,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Destination INFERRED.,Latin,"Hübner, Joachim ~ Hartmann, Adam Samuel ~ Schaum, Constantine ~ Hesenthaler, Magnus ~ Figulus, Petr ~ Rülz, Johann ~ Cromwell, Oliver (Colonel) ~ Ludwig, Johann Paul ~ Karl X Gustav, King of Sweden ~ Württemberg, Herzog Ulrich von (fl. 1658)"
1658,2,9,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Destination INFERRED.,Latin,"Hübner, Joachim ~ Rülz, Johann ~ Drabík, Mikuláš"
1658,3,22,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Destination INFERRED.,Latin,"Cromwell, Oliver (Colonel) ~ Rákóczi, György II ~ Karl X Gustav, King of Sweden ~ Frederick III, King of Denmark and Norway"
1658,4,12,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Author/sender INFERRED. Author/sender UNCERTAIN. ~ Destination INFERRED.,"English, Latin","Leopold I ~ Schönborn, Johann Philipp von ~ Karl X Gustav, King of Sweden ~ Alexander VII"
1658,8,23,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Bythner, Johannes",Silesia,"51.0, 18.0",Poland,,,Origin INFERRED. ~ Destination INFERRED.,Latin,"Hartmann, Adam Samuel ~ Figulus, Petr ~ Gertich, Mikołaj ~ Epaenet, Daniel (fl. 1658) ~ Justin, J. (fl. 1658) ~ Felín, Jan"
1658,5,30,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Drellincourt, Charles",Paris,"48.85341, 2.3488",Île-de-France,France,,Destination INFERRED. Destination UNCERTAIN.,Latin,"de Geer, Laurentius ~ Dalaeus"
1658,1,18,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Schaum, Constantine",Makovice,"48.12597, 22.79418",Chetfalva,Zakarpatia,,Destination INFERRED.,Latin,"Hartlib, Samuel ~ Cromwell, Oliver (Colonel) ~ Friedrich Wilhelm I ~ Charles I Louis, Elector Palatine"
1658,1,18,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,,Latin,"Schaum, Constantine ~ Hartmann, Paul"
1658,2,22,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,,Latin,"Rülz, Johann ~ Schaum, Constantine ~ Rákóczi, György II ~ de Geer, Laurentius"
1658,2,28,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Sadovský ze Sloupna, Jan Jiří",London,"51.50853, -0.12574",England,,,,Latin,"Cromwell, Oliver (Colonel) ~ Hartmann, Adam Samuel"
1658,3,8,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,,English,"Cromwell, Oliver (Colonel) ~ Karl X Gustav, King of Sweden ~ Warner, Levin ~ de Geer, Laurentius ~ Nissel, Johann Georg"
1658,3,15,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,,English,"Karl X Gustav, King of Sweden ~ Leopold I"
1658,3,22,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,,"English, Latin","Rákóczi, György II ~ Mikesz, Mihaly (fl. 1658) ~ Hornbeeck, Johannes"
1658,4,12,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,,Latin,"Rülz, Johann ~ de Geer, Laurentius ~ de Geer, Stephan ~ Figulus, Petr ~ Vetter, Daniel ~ Podivín, Václav (fl.1656-58) ~ Vojt, Samuel ~ Karl X Gustav, King of Sweden ~ Frederick III, King of Denmark and Norway ~ Cyrillus, Paul (fl. 1642-58)"
1658,5,8,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Stouppius, Johannes (fl. 1658)",London,"51.50853, -0.12574",England,,,Destination INFERRED. Destination UNCERTAIN.,Latin,"Hartmann, Paul ~ Cyrillus, Paul (fl. 1642-58)"
1658,6,14,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,,Latin,"Hübner, Joachim ~ Rülz, Johann ~ Figulus, Petr ~ Beale, John ~ Dury, John"
1658,7,13,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,,Latin,"Lassmann, Jacob (fl. 1658)"
1658,9,7,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Drabík, Mikuláš",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,,Origin INFERRED. ~ Destination INFERRED.,Latin,"Drabík, Mikuláš"
1658,5,9,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Beale, John",Hereford,"52.05684, -2.71482",Herefordshire,England,,Destination INFERRED.,Latin,"Drabík, Mikuláš"
1658,10,28,"Ott, Johann Heinrich",Zurich,"47.36667, 8.55",Zurich Canton,(Swiss Confederation) Switzerland,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,Destination INFERRED.,Latin,"Redinger, Johannes Jacob ~ Zesen, Philipp von"
1658,3,25,"Schaum, Constantine",Transylvania,"46.5, 25.0",(Principality of Transylvania) Romania,,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,Origin INFERRED. ~ Destination INFERRED.,Latin,"Rákóczi, György II ~ Karl X Gustav, King of Sweden ~Louis XIV, King of France ~ Șerban, Constantin (fl. 1658) ~ Gheorghe Ştefan ~ Kemény, János"
1658,1,15,"Bythner, Johannes",Silesia,"51.0, 18.0",Poland,,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,Origin INFERRED. ~ Destination INFERRED.,Latin,"Ursinus, Benjamin ~ Moeresius, Jan Jerzy ~ Gertich, Mikołaj ~ Denertus, Jerzy (fl. 1658) ~ Gleinig, Jerzy (fl. 1649-58) ~ Musonius, Andrzej ~ Figulus, Petr ~ Zugehör, Johannes (fl. 1658) ~ Kopecki, Daniel"
1658,3,16,"Gertich, Mikołaj",Silesia,"51.0, 18.0",Poland,,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,Origin INFERRED. ~ Destination INFERRED.,"German, Polish",
1658,11,19,"Drabík, Mikuláš",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,Origin INFERRED. ~ Destination INFERRED.,Latin,
1658,2,7,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Dutch navy, Prefects of the (fl. 1658)",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,Destination INFERRED.,"Czech, Latin",
1659,6,8,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Daniel, Roger (fl. 1659)",London,"51.50853, -0.12574",England,,,,Latin,
1659,3,20,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Arnold, Nicholas",Franeker,"53.18546, 5.54123",Friesland,(United Provinces) Netherlands,,Destination INFERRED.,Latin,"Drabík, Mikuláš ~ Arnold, Nicholas ~ Biddle, John"
1659,7,1,"Sadovský ze Sloupna, Jan Jiří",Westminster,"51.5, -0.11667",London,England,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,,Latin,"Owen, John"
1659,1,26,"Sadovský ze Sloupna, Jan Jiří",London,"51.50853, -0.12574",England,,"CCCCCC ~ Bythner, Johannes",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,Destination INFERRED.,Latin,"Wyclife, John ~ Figulus, Petr"
1659,3,18,"Arnold, Nicholas",Franeker,"53.18546, 5.54123",Friesland,(United Provinces) Netherlands,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,Destination INFERRED.,Latin,"Karl X Gustav, King of Sweden ~ Rákóczi, György II ~ Drabík, Mikuláš ~ Poniatowska, Christina ~ Vetter, Daniel (fl. 1663) ~ Felgenhauer, Paul ~ Schwenkfeld, Caspar ~ Mennonites"
1660,2,6,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,,English,"Rákóczi, György II ~ Becher, Johann Joachim"
1660,9,24,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Origin UNCERTAIN.,Latin,
1660,12,10,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Destination INFERRED.,Latin,
1660,9,28,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Púchov, brothers in (fl. 1660)",Púchov,"49.12494, 18.32596",(Upper Hungary) Slovakia,,,Addressee INFERRED.,Czech,"Kotter, Christoph ~ Drabík, Mikuláš ~ Poniatowska, Christina"
1660,12,14,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Mikołaj",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,,Origin INFERRED.,"German (parts), Latin, Polish","Krajnski (fl. 1662) ~ Radziwiłł, Bogusław ~ Charles II, King of England, Scotland, and Ireland"
1660,8,20,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Polemann, Joachim (fl. 1653-61)",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,Destination INFERRED.,Latin,"Rákóczi, György II ~ Rákóczi, Ferenc I. ~ Medniansky, János (fl. 1654-64)"
1661,1,14,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Date of work INFERRED. Date of work UNCERTAIN. Date of work APPROXIMATE.,Latin,"Sabunde, Raimundus de"
1661,5,26,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Destination INFERRED.,Latin,"Hartlib, Samuel ~ Hartmann, Paul ~ Polemann, Joachim (fl. 1653-61) ~ Podivín, Václav (fl.1656-58) ~ Junius, Samuel ~ Krajnski (fl. 1662) ~ Pilsenius, J. (fl. 1662-63)"
1661,10,21,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Origin INFERRED. ~ Destination INFERRED.,"Czech, German, Latin",
1661,11,27,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Origin INFERRED. ~ Destination INFERRED.,Latin,
1661,12,2,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Origin INFERRED. ~ Destination INFERRED.,Latin,
1661,12,9,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Origin INFERRED. ~ Destination INFERRED.,Latin,
1661,9,8,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Vojt, Samuel",Herborn,"50.68333, 8.31667",Hesse,(Upper Rhenish Imperial Circle) Germany,,Date of work INFERRED.,Czech,"Vojt, Samuel ~ Vetter, Georg"
1661,9,11,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Vojt, Samuel",Herborn,"50.68333, 8.31667",Hesse,(Upper Rhenish Imperial Circle) Germany,,Destination INFERRED.,Latin,"Vetter, Georg"
1661,9,27,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Mikołaj",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,,Addressee INFERRED. Addressee UNCERTAIN. ~ Origin INFERRED. Origin UNCERTAIN. ~ Destination INFERRED.,"German, Latin",
1661,10,4,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Mikołaj",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,,Origin INFERRED. ~ Destination INFERRED.,"German, Latin","Felín, Jan"
1661,7,25,"Vojt, Samuel",Herborn,"50.68333, 8.31667",Hesse,(Upper Rhenish Imperial Circle) Germany,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,,Latin,"Rozín (fl. 1661) ~ Janovius (fl. 1661) ~ Borovius (fl. 1661) ~ de Geer, Laurentius ~ Rülz, Johann ~ Belius, Mr. and Mrs. (fl. 1661) ~ Steinberg (fl. 1661)"
1661,10,22,"Hübner, Joachim",Clivis,0,Cleve,,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,,German,"Nassau, Louise Henriëtte von ~ Friedrich Wilhelm I ~ Solms-Braunfels, Amalia of ~ Drabík, Mikuláš ~ Dury, John"
1661,1,13,"Gertich, Mikołaj",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,Author/sender INFERRED. ~ Addressee INFERRED. Addressee UNCERTAIN. ~ Origin INFERRED.,Polish,
1662,2,3,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Destination INFERRED.,Latin,"Charles II, King of England, Scotland, and Ireland ~ Krajnski (fl. 1662) ~ Pilsenius, J. (fl. 1662-63)"
1662,2,24,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Destination INFERRED.,Latin,"Serrarius, Petrus ~ Marescoe, Mr (fl. 1661) ~ Krajnski (fl. 1662)"
1662,5,20,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Voetius, Gisbert",Utrecht,"52.09083, 5.12222",Utrecht,(United Provinces) Netherlands,,,Latin,"Zwicker, Daniel"
1662,3,10,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,,Latin,
1662,4,8,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Lukavský z Lukavice, Arnošt Maxmilián (fl. 1669)",Frankfurt (Oder),"52.34714, 14.55062",(Upper Saxon Imperial Circle) Brandenburg,Germany,,,"German, Latin","Charles II, King of England, Scotland, and Ireland"
1662,8,22,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Mikołaj",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,,Origin INFERRED.,"German (parts), Latin","Vetter, Daniel ~ Bythner, Johannes ~ Seidel, Jan"
1662,10,10,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Mikołaj",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,,Destination INFERRED.,Latin,"Gertich, Mikołaj ~ Vetter, Daniel"
1662,3,23,"Bythner, Johannes",Wrocław,"51.1, 17.03333",(Silesia) Poland,,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,,Polish,"Gertich, Mikołaj ~ Hartmann, Paul ~ Chodowiecki (fl.1649) ~ Figulus, Petr ~ Schmettau, Heinrich ~ Schmettau, Wolfgang de ~ Rülz, Johann ~ Gribius, Peter"
1663,4,9,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Věžník of Věžník, Adam Ladislav",Vienna,"48.20849, 16.37208",Wien,(Austrian Imperial Circle) Austria,,Origin INFERRED. Origin UNCERTAIN.,Czech,"Walter, Libert (fl.1663) ~ de Geer, Laurentius ~ Blaeu, Joannes Janszoon ~ Vozín, Bernard (fl. 1663)"
1663,2,19,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Schmettau, Heinrich",Legnica,"51.21006, 16.1619",Legnica Voivodeship,(Lower Silesia) Poland,,,"German, Latin","Gertich, Mikołaj ~ Straškovský, Pavel (fl. 1633)"
1663,5,28,"CCCCCC ~ Bythner, Johannes ~ Gertich, Mikołaj ~ Vetter, Daniel",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Púchov and Lednica, Priests and seniors in (fl. 1663)",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,,Destination INFERRED.,Latin,"Drabík, Mikuláš ~ Bythner, Johannes ~ Gertich, Mikołaj ~ Vetterin, Pavel (fl. 1663) ~ Junius, Samuel"
1663,4,17,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Nigrin, Kristián Vladislav",Geneva,"46.20222, 6.14569",Genève,(Swiss Confederation) Switzerland,,,Latin,"Gertich, Mikołaj ~ Vetter, Georg ~ Junius, Samuel ~ Dury, John"
1663,6,14,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Scotland, bishops of",Edinburgh,"55.95206, -3.19648",City of Edinburgh,Scotland,,,Latin,"Hartmann, Paul ~ Elsner, Johannes (fl. 1663) ~ Warrant, Jacobus (fl. 1663)"
1663,2,20,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Mikołaj",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,,Origin INFERRED. Origin UNCERTAIN. ~ Destination INFERRED.,Latin,"Gertich, Mikołaj ~ Schmettau, Heinrich ~ Miranda, Václav (fl. 1656) ~ Schaum, Constantine ~ Drabík, Mikuláš ~ Bythner, Johannes ~ Medniansky, János (fl. 1654-64) ~ de Geer, Laurentius ~ Vojt, Samuel ~ Junius, Samuel ~ Hiram, Tobias (mentioned 1662-70) ~ Gertich, Ambrosius (fl. 1663) ~ Figulus, Petr ~ Vetter, Georg ~ Vetter, Daniel (fl. 1663) ~ Elsner, Johannes (fl. 1663) ~ Warrant, Jacobus (fl. 1663)"
1663,11,6,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Mikołaj",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,,,Latin,"Hartmann, Paul ~ Schmettau, Heinrich ~ Rülz, Johann ~ Gribius, Peter ~ Hiram, Tobias (mentioned 1662-70) ~ Macer, Sebastian ~ Nigrin, Kristián Vladislav ~ de Geer, Laurentius ~ Javorski, X. J. (fl. 1663)"
1663,11,6,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Mikołaj",Brieg,"50.86079, 17.4674",Opole Voivodeship,Poland,,Origin INFERRED. Origin UNCERTAIN. ~ Destination INFERRED.,"Latin, Polish",
1663,3,7,"Věžník of Věžník, Adam Ladislav",Vienna,"48.20849, 16.37208",Wien,(Austrian Imperial Circle) Austria,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,,Czech,"Blaeu, Joannes Janszoon"
1663,7,16,"Calesius Lucas (fl. 1663) ~ Jeffon, Tobias (fl. 1663) ~ Bielski de Karissow, Wenceslaus Godfried (fl. 1663) ~ Junius, Samuel ~ Laurin, Pavel ~ Alfeus, Ezechiel (fl. 1663) ~ Vetterin, Pavel (fl. 1663) ~ Horatschek, Paulus (fl. 1663)",Púchov,"49.12494, 18.32596",(Upper Hungary) Slovakia,,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,Destination INFERRED.,Latin,"Drabík, Mikuláš"
1663,7,17,"Junius, Samuel",Púchov,"49.12494, 18.32596",(Upper Hungary) Slovakia,,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,Destination INFERRED.,Latin,
1663,7,18,"Bielski de Karissow, Wenceslaus Godfried (fl. 1663)",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,Destination INFERRED.,Latin,"Drabík, Mikuláš ~ Vetterin, Pavel (fl. 1663)"
1663,3,1,"Nigrin, Kristián Vladislav",Geneva,"46.20222, 6.14569",Genève,(Swiss Confederation) Switzerland,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,Destination INFERRED.,Latin,"Dury, John"
1663,6,20,"Seidenbecher, Georg Lorenz",Eisfeld,"50.7333, 10.3667",Thuringia,Germany,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,Destination INFERRED.,Latin,"Łasicki, Jan ~ Hoornbeck, Johann ~ Webber, Zacharias (fl. 1663)"
1664,4,23,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,Romberg (fl. 1664),Leeuwarden,"53.20139, 5.80859",Friesland,(United Provinces) Netherlands,,,"Czech, Latin","Komenský, Daniel ~ Tobianus, Jan"
1664,5,26,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,Romberg (fl. 1664),Leeuwarden,"53.20139, 5.80859",Friesland,(United Provinces) Netherlands,,,"Czech, Latin","de Geer, Laurentius ~ Komenský, Daniel"
1664,8,16,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,Romberg (fl. 1664),Leeuwarden,"53.20139, 5.80859",Friesland,(United Provinces) Netherlands,,Origin INFERRED. Origin UNCERTAIN.,Latin,"Komenský, Daniel ~ Scaliger, Joseph Justus"
1664,10,29,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,Romberg (fl. 1664),Leeuwarden,"53.20139, 5.80859",Friesland,(United Provinces) Netherlands,,,Latin,"Komenský, Daniel"
1664,12,23,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Drabík, Mikuláš",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,,Destination INFERRED.,Czech,"de Geer, Laurentius ~ Tobianus, Jan ~ Junius, Samuel ~ Aubigny, Prince de ~ Polemann, Joachim (fl. 1653-61) ~ Alfeus, Ezechiel (fl. 1663) ~ Pelt, Johan (fl. 1664) ~ Vetterin, Pavel (fl. 1663) ~ Hartmann, Adam Samuel ~ 5th Earl of Pembroke, Philip Herbert"
1664,4,2,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Redinger, Johannes Jacob",Frankenthal,"49.53722, 8.355",Rhineland-Palatinate,Germany,,,Latin,"Kotter, Christoph ~ Drabík, Mikuláš ~ Frederick V, Elector Palatine ~ Rupert, Prince and count palatine of the Rhine ~ Ulrich, Johann Jacob ~Louis XIV, King of France ~ Melisch, Stephan ~ Hoburg, Christian ~ Kregel, Johann"
1664,5,7,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Redinger, Johannes Jacob",Frankenthal,"49.53722, 8.355",Rhineland-Palatinate,Germany,,,Latin,"de Geer, Laurentius ~ Le Blon, Christof ~ Klinget, Jonas"
1664,4,23,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Valckenier, Johannes",Franeker,"53.18546, 5.54123",Friesland,(United Provinces) Netherlands,,,Latin,"Tobianus, Jan"
1664,8,25,"Herbert, William",Wilton House,"51.0781, -1.856",Wilton,Wiltshire,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,,Latin,"Drabík, Mikuláš"
1664,4,27,"Tobianus, Jan, 1637-1718",Franeker,"53.18546, 5.54123",Friesland,(United Provinces) Netherlands,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,,Czech,"Appiarius (fl. 1664) ~ Romberg (fl. 1664) ~ Komenský, Daniel ~ Komenská, Johana Gajusová"
1664,12,5,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"de Geer, Laurentius",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,,Origin INFERRED. ~ Destination INFERRED.,Latin,"Warner, Levin ~ Golius, Jacobus ~ Petraeus, Theodor ~ de Geer, Laurentius ~ Beza, Theodore"
