year,month,day,creator,cityFrom,coordinatesFrom,regionFrom,countryFrom,addressees,cityTo,coordinatesTo,regionTo,countryTo,destination,flags,language,peopleMentioned
1655,5,24,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Klobusiczky, Andreas",Sárospatak,"48.31667, 21.58333",Borsod-Abaúj-Zemplén,Hungary,,Origin INFERRED. ~ Destination INFERRED.,Latin,"Klobusiczky, Andreas ~ Schaum, Constantine ~ Bisterfeld, Johann Heinrich ~ Bye, Nicolas de (fl. 1655) ~ Coyet, Petrus Julius ~ John II Casimir Vasa, King of Poland ~ Cromwell, Oliver (Colonel) ~ Charles Emmanuel II ~Louis XIV, King of France"
1655,7,22,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Klobusiczky, Andreas",Sárospatak,"48.31667, 21.58333",Borsod-Abaúj-Zemplén,Hungary,,Origin INFERRED. ~ Destination INFERRED.,Latin,"Klobusiczky, Andreas ~ Kettler, Jacob ~ Wittenberg von Debern, Arvid ~ Opaliński, Krzysztof ~ Schlichting, Johann Georg von ~ Ossowski, Andreas (fl. 1655) ~ Radziejowski, Hieronymus (fl. 1655) ~ Friedrich Wilhelm I ~ Karl X Gustav, King of Sweden ~ Schaum, Constantine ~ Rákóczi, György II"
1655,1,23,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,Destination INFERRED.,Latin,"Schaum, Constantine ~ Cromwell, Oliver (Colonel) ~ Sadovský ze Sloupna, Jan Jiří"
1655,4,15,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Figulus, Petr",Gdańsk,"54.35205, 18.64637",Pomeranian Voivodeship,(Royal Prussia) Poland,,,Czech,
1655,12,15,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Figulus, Petr",Gdańsk,"54.35205, 18.64637",Pomeranian Voivodeship,(Royal Prussia) Poland,,Date of work APPROXIMATE. (Date of work as marked: 1655 (after 9 23. before 12 15)),Latin,"Schaum, Constantine ~ Rákóczi, György II"
1656,8,3,"CCCCCC",Hamburg,"53.57532, 10.01534",Hamburg,Germany,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,Destination INFERRED.,Latin,"Schaum, Constantine ~ de Geer, Laurentius ~ Figulus, Petr ~ Rákóczi, György II"
1656,10,13,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,,,Latin,"Schlezer, Johann Friedrich ~ Beeck, Philip Op de ~ Rülz, Johann ~ Figulus, Petr ~ Vetter, Daniel ~ Hübner, Joachim ~ Menasseh Ben Israel ~ Despange ~ Medniansky, János (fl. 1654-64) ~ Dury, John ~ Arnold, Nicholas ~ Hartmann, Paul ~ Schaum, Constantine ~ Oxenstierna, Axel (Count) ~ Tulp, Nicolaes ~ Graef, Cornelis de ~ Lauterbach, Johan ~ Rákóczi, György II"
1656,9,1,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hesenthaler, Magnus",Stuttgart,"48.78232, 9.17702",Baden-Württemberg,(Swabian Imperial Circle) Germany,,Destination INFERRED.,Latin,"Andreae, Johann Valentin ~ Rülz, Johann ~ de Geer, Laurentius ~ Endter, Michael ~ Barbette, Paul ~ Heinlin, Johann Jacob ~ Zetzner (fl. 1656) ~ Schmierer (fl. 1656)"
1656,11,11,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Martin",Orsk,"51.58684, 16.35725",Lower Silesian Voivodeship,(Silesia) Poland,,Destination UNCERTAIN.,Latin,"Hartmann, Paul ~ Laurin, Pavel ~ Chodníček, Jan ~ Königsmarck, Hans Christoff von ~ Radziwiłł, Bogusław ~ Legnicki, Christian ~ Hartlib, Samuel"
1656,9,1,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Harsdörffer, Georg Philip",Nuremberg,"49.44778, 11.06833",(Franconian Imperial Circle) Bavaria,Germany,,Destination INFERRED. Destination UNCERTAIN.,Latin,"Hesenthaler, Magnus ~ Endter, Michael ~ Deller, Wilhelm (fl. 1656) ~ Beyer, Jacob (fl. 1656)"
1656,12,15,"CCCCCC",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,,,,Latin,"de Geer, Laurentius ~ Dury, John ~ Rülz, Johann ~ Sadovský ze Sloupna, Václav Ferdinand ~ Schaum, Constantine ~ Karl X Gustav, King of Sweden ~ Friedrich Wilhelm I ~ Lewenhaupt, Gustav Adolf"
1656,4,19,"Rákóczi, György II ~ Medniansky, János",Alba Iulia,"46.06667, 23.58333",Judeţul Alba,(Principality of Transylvania) Romania,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,,Destination INFERRED. Destination UNCERTAIN.,Latin,"Friedrich Wilhelm I ~ Cromwell, Oliver (Colonel) ~ John II Casimir Vasa, King of Poland"
1656,5,5,"CCCCCC",Silesia,"51.0, 18.0",Poland,,"Figulus, Petr",Gdańsk,"54.35205, 18.64637",Pomeranian Voivodeship,(Royal Prussia) Poland,,Origin UNCERTAIN.,Czech,
1656,5,22,"CCCCCC",Silesia,"51.0, 18.0",Poland,,"Figulus, Petr",Gdańsk,"54.35205, 18.64637",Pomeranian Voivodeship,(Royal Prussia) Poland,,Origin INFERRED. ~ Destination INFERRED.,Latin,"de Geer, Laurentius ~ Hotton, Goddofred ~ Wolzogen, Johann from Missingdorf ~ Rülz, Johann ~ Hartlib, Samuel ~ Vindisch, Jan (fl. 1657-67)"
1656,1,8,"CCCCCC",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Figulus, Petr",Gdańsk,"54.35205, 18.64637",Pomeranian Voivodeship,(Royal Prussia) Poland,,,Latin,"Schaum, Constantine ~ Kometka (fl.1656) ~ Karl X Gustav, King of Sweden ~ Friedrich Wilhelm I ~ Sartorius (fl. 1656) ~ Klobusiczky, Andreas ~ Rákóczi, György II ~ Hartlib, Samuel ~ John II Casimir Vasa, King of Poland"
