year,month,day,city,region,country,coordonates,type,uncertainty
1592,3,28,Nivnice,,Czech Republic,,long,
1598,,,Uhersk_ Brod,,Czech Republic,,long,month
1604,,,Str‡_nice,,Czech Republic,,long,month
1605,5,,Nivnice,,Czech Republic,,long,day
1608,1,,P_erov,,Moravia,,long,day
1611,3,30,Herborn,,Germany,,long,
